case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
facts-control	1000	d76827d465269264ed4c1d3e4e297118e9cfbba1f3ad681d59f220c564ea4d6c	16901	3	0.030115	0.029360	0.031923	0.029797	3	1	true	none	0	0	1	0	0	1000	42	0	OK
facts-control	2000	288a7ca1bd1b5208a03f83349634de030f2da8c7175e55e6f593a3cb6b3d214f	34901	3	0.056711	0.054966	0.059520	0.062226	3	1	true	none	0	0	1	0	0	2000	42	0	OK
facts-control	4000	c2d24b096f06c7d87816e75c0681a514c1605c30d1cb829c9a776edb15e01bc1	70901	3	0.162533	0.161641	0.173344	0.155862	3	1	true	none	0	0	1	0	0	4000	42	0	OK
data-loop-control	1000	112c47f30c36cebf6f2b158cc7310a40551bcffede908fb628a3e2aecaa22b13	17003	3	0.038601	0.037001	0.040945	0.043513	519	1	true	none	0	0	67	0	0	1001	43	65	OK
data-loop-control	2000	553952bf397bc7eeac6a36007c1d0c109bb54e276e9745e8c30117b873c4c515	35003	3	0.061989	0.060363	0.062727	0.065766	519	1	true	none	0	0	67	0	0	2001	43	65	OK
data-loop-control	4000	1b77882c834273043bc6f60aa0b19198fff483cba9cc2e8e1966a6bce6620677	71003	3	0.167968	0.167684	0.170371	0.171892	519	1	true	none	0	0	67	0	0	4001	43	65	OK
match-bound-head	1000	74262c8318db2103811cf284f5d819ed5eac9ed49ce1cb8c7c249add520acfd3	17077	3	0.045465	0.045364	0.047457	0.065358	903	1	true	none	0	0	67	0	0	1001	43	64129	OK
match-bound-head	2000	cfc980294c7d29fc6692cb35cd72700cfaa77cabbb5ac87b99e9005035ba313a	35077	3	0.074892	0.073934	0.076511	0.094798	903	1	true	none	0	0	67	0	0	2001	43	128129	OK
match-bound-head	4000	530343ab623e959ab6abc62d4f6563a801e2ff67a7b75224f3459ce1665cc271	71077	3	0.196950	0.194506	0.200749	0.229197	903	1	true	none	0	0	67	0	0	4001	43	256129	OK
match-unbound	1000	e92470738947ba98a90ddcc765d349e01e6c984c8b627baa964073726a098af6	17078	3	0.140609	0.136668	0.371719	0.245565	903	1	true	none	0	0	67	0	0	1001	43	64129	OK
match-unbound	2000	7bfbc47991d9f06eb317fc99ffe1f87251110c0a7141bb6dcf6828e79f1936c2	35078	3	0.444996	0.444564	0.522733	0.832636	903	1	true	none	0	0	67	0	0	2001	43	128129	OK
match-unbound	4000	37b928d82a5b9256cc5c0c68e9cca5eb04b42a55e3c94e93d510ce7331455419	71078	3	1.657895	1.610201	1.658832	3.126547	903	1	true	none	0	0	67	0	0	4001	43	256129	OK
remove-miss	1000	494be6ee2a91eec9b3dd1be1511675692da2005fe846e3717815b3b9ca57eb03	17078	3	0.050772	0.050244	0.054154	0.062541	711	1	true	none	0	0	67	0	0	1001	43	65	OK
remove-miss	2000	b82812a681f3ac788e2004c3bfa63429485b4bbeacdcf87ef5965ce1229c0ffb	35078	3	0.079047	0.078470	0.085001	0.101246	711	1	true	none	0	0	67	0	0	2001	43	65	OK
remove-miss	4000	1e0ea35d4642859c3ad0ecc2e1a72e81476378974168ae6c11ed95388d9c3085	71078	3	0.210652	0.205650	0.217075	0.241514	711	1	true	none	0	0	67	0	0	4001	43	65	OK
clauses-control	1000	d3edf017c8e25881aa798bbaed8566486707024e48c4d5d48c4b7d53c5d2d1c2	17061	3	0.040711	0.039960	0.041780	0.052798	647	1	true	none	0	0	68	0	0	1002	44	129	OK
clauses-control	2000	09225be9f1000722241dfcb3dc691f23f2ae95216773bf3f3a9ff6fce66cfae8	35061	3	0.064008	0.062710	0.065988	0.073938	647	1	true	none	0	0	68	0	0	2002	44	129	OK
clauses-control	4000	a28b31bfde4a2b10913fcb56497ebecf4c104f95bd0017dea996f32550ceae82	71061	3	0.173592	0.172615	0.180853	0.184226	647	1	true	none	0	0	68	0	0	4002	44	129	OK
clauses-growing	1000	af85e1b93eab3829a0543a4a8ff96edc6721bf868c77a9ed5bea9ad60d122fb1	28061	3	0.059524	0.058559	0.066268	0.068378	647	1	true	none	0	0	68	0	0	1002	1044	129	OK
clauses-growing	2000	bb622842d5cd1d2343762700bec172904f60881fb52c9173c62d30ef27155779	57061	3	0.141166	0.138203	0.141734	0.164512	647	1	true	none	0	0	68	0	0	2002	2044	129	OK
clauses-growing	4000	146f128707af77c0848bce2ae94aad7697578ab22233831d15d4631883360c4c	115061	3	0.499137	0.480277	0.506200	0.515786	647	1	true	none	0	0	68	0	0	4002	4044	129	OK
