case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	3	0.043274	0.041303	0.050578	0.058677	807	1	true	none	0	0	103	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	3	0.121586	0.120467	0.127225	0.212878	1607	1	true	none	0	0	203	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	3	0.672113	0.652872	0.685231	1.328897	3207	1	true	none	0	0	403	0	0	1	43	401	OK
add-only	100	fc0baedf5fe8dbaaef8429d00157a72cabed1da38b2bdc87da4daf012f490b5a	173	3	0.043340	0.043006	0.043529	0.060392	1107	1	true	none	0	0	103	0	0	101	43	101	OK
add-only	200	5bc375639d09e58e681be7ea81372a39ed24170746f838a0538f4e57a267d402	173	3	0.129930	0.128395	0.136543	0.272751	2207	1	true	none	0	0	203	0	0	201	43	201	OK
add-only	400	f081d1b4892d49ad5e9732bf81ccbec92db16ef6a7ba8312c650bd7689cc3e79	173	3	0.726015	0.702421	0.761622	1.338857	4407	1	true	none	0	0	403	0	0	401	43	401	OK
exact-dedup	100	ab8f91b91ed217950607c2197e15bb3ba6b37501ea5035ad4338b587fcfc6c81	399	3	0.058861	0.058148	0.060165	0.090640	2107	1	true	none	0	0	103	0	0	101	43	5151	OK
exact-dedup	200	f250f0fa36e2b3e10aee89655f902e2c05dddca53b6c44b943ea3cb14facc2d2	399	3	0.193847	0.192437	0.196402	0.412995	4207	1	true	none	0	0	203	0	0	201	43	20301	OK
exact-dedup	400	13acacc6c8c82d75d47dda08e6ea3a70475a70c13fe9bc08eee49fba8bdaf9e6	399	3	1.172019	1.101616	1.262399	2.187990	8407	1	true	none	0	0	403	0	0	401	43	80601	OK
facts-control	100	d3086c087dad698349467ee6c88bcab735192d589c7763bb85bfa84d484aec3d	1601	3	0.022687	0.021544	0.024196	0.026429	3	1	true	none	0	0	1	0	0	100	42	0	OK
facts-control	200	8687e6d6c51f73bd193b81f06b02be6934ee22e37c8eb15c56c6843c4f74192b	3301	3	0.023962	0.022015	0.025920	0.021679	3	1	true	none	0	0	1	0	0	200	42	0	OK
facts-control	400	bafdfc1f80f169830b16450006c30509e95a6d6e2341633765adc95ea4d2a0c7	6701	3	0.023923	0.023549	0.025229	0.030711	3	1	true	none	0	0	1	0	0	400	42	0	OK
data-loop-control	100	364a0c6800d1b56d906b66de2546cc31eafe9d169c321aa267924898396fe5d3	1703	3	0.026298	0.025995	0.026611	0.027322	135	1	true	none	0	0	19	0	0	101	43	17	OK
data-loop-control	200	04ed48ca2875cf14fedad0dcf29be7d9935293ee7458da78016225879fed4952	3403	3	0.027959	0.026183	0.028740	0.028102	135	1	true	none	0	0	19	0	0	201	43	17	OK
data-loop-control	400	2f16bcf5103f364bedca2d532e721e9f4da7bb4e780be184a1b9590016ad6184	6803	3	0.027499	0.026749	0.029622	0.028253	135	1	true	none	0	0	19	0	0	401	43	17	OK
match-bound-head	100	34599dce60c3a1be19ee2e38f98e8d21b829290033c049edbeb414aae91e6519	1777	3	0.025765	0.025712	0.026323	0.028856	231	1	true	none	0	0	19	0	0	101	43	1633	OK
match-bound-head	200	7eb620fa13fc0ba29f5a550d47c6b835ff6f10f47504aa5ac6c4a3aced8f9db0	3477	3	0.029607	0.028155	0.032788	0.033718	231	1	true	none	0	0	19	0	0	201	43	3233	OK
match-bound-head	400	a4457b241e23011964c27712d01a3d063f1f5872fc24b90f2968d5266e159fe8	6877	3	0.029671	0.026742	0.033262	0.029696	231	1	true	none	0	0	19	0	0	401	43	6433	OK
match-unbound	100	9580bcebe7b13a33f772e8f7e4d31087aa401b6bc02c8ba97a534036842d05c5	1778	3	0.025939	0.025855	0.026192	0.028703	231	1	true	none	0	0	19	0	0	101	43	1633	OK
match-unbound	200	d0ad598bcb546b3f6f18e2518ff91034a7ba3a93b8eab64bca78a87c5a633e6c	3478	3	0.027232	0.026557	0.032578	0.030077	231	1	true	none	0	0	19	0	0	201	43	3233	OK
match-unbound	400	85556e23fda1bdc5296809d2e224049f6b48ec5df762424a52f8edacbde83aa7	6878	3	0.029237	0.028720	0.031300	0.034470	231	1	true	none	0	0	19	0	0	401	43	6433	OK
remove-miss	100	18779422dbbbb4c334a0b2794fdbe5bcc66d16740ffb88d0823b2aac7f140558	1778	3	0.026182	0.026117	0.027616	0.026931	183	1	true	none	0	0	19	0	0	101	43	17	OK
remove-miss	200	ccb4dafcb99584fdb4d057fbfa153bed7b9df421d885ca8a4d91ffdf4af2e62a	3478	3	0.029041	0.027325	0.031511	0.030209	183	1	true	none	0	0	19	0	0	201	43	17	OK
