case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
loop-control	100	fc9606c4cffcece9aeaa1e55882faa4eab0ee9c3298db986d6ee2006b3e134b0	113	3	0.036951	0.036774	0.037783	0.055184	807	1	true	none	0	0	103	0	0	1	43	101	OK
loop-control	200	5791f9bcd14846676726de26affb9405cf73feed95729b54718a10b91888430c	113	3	0.112550	0.109741	0.117031	0.200241	1607	1	true	none	0	0	203	0	0	1	43	201	OK
loop-control	400	e34fe2500b6634b4790fa3c6c73f4990f22ee0eb5d3479e9ca4b3a80fc0c67dd	113	3	0.632731	0.623304	0.647764	1.257491	3207	1	true	none	0	0	403	0	0	1	43	401	OK
loop-control	800	8bcda327622fa5a8129847bdea7f389da06fcb6043691a52d613c762c5e266ea	113	3	4.189343	4.106736	4.236983	8.580555	6407	1	true	none	0	0	803	0	0	1	43	801	OK
add-only	100	fc0baedf5fe8dbaaef8429d00157a72cabed1da38b2bdc87da4daf012f490b5a	173	3	0.040220	0.037641	0.041161	0.058829	1107	1	true	none	0	0	103	0	0	101	43	101	OK
add-only	200	5bc375639d09e58e681be7ea81372a39ed24170746f838a0538f4e57a267d402	173	3	0.126485	0.118487	0.146328	0.227855	2207	1	true	none	0	0	203	0	0	201	43	201	OK
add-only	400	f081d1b4892d49ad5e9732bf81ccbec92db16ef6a7ba8312c650bd7689cc3e79	173	3	0.651384	0.645991	0.689330	1.246496	4407	1	true	none	0	0	403	0	0	401	43	401	OK
add-only	800	7a799e3447b87a04db87effaa91c9981ee443e0e29d9d6376dae593a919d15bb	173	3	4.549601	4.336432	4.557156	8.759960	8807	1	true	none	0	0	803	0	0	801	43	801	OK
exact-dedup	100	ab8f91b91ed217950607c2197e15bb3ba6b37501ea5035ad4338b587fcfc6c81	399	3	0.054023	0.051897	0.055815	0.084572	2107	1	true	none	0	0	103	0	0	101	43	5151	OK
exact-dedup	200	f250f0fa36e2b3e10aee89655f902e2c05dddca53b6c44b943ea3cb14facc2d2	399	3	0.187200	0.185799	0.189128	0.342878	4207	1	true	none	0	0	203	0	0	201	43	20301	OK
exact-dedup	400	13acacc6c8c82d75d47dda08e6ea3a70475a70c13fe9bc08eee49fba8bdaf9e6	399	3	1.011955	0.995369	1.023653	2.025972	8407	1	true	none	0	0	403	0	0	401	43	80601	OK
exact-dedup	800	c778de0aa1eb610acaff55710bcecf57ddb61a2f2ac60a1d26b69f7d40a4a3be	399	3	6.849829	6.811371	7.117432	13.592884	16807	1	true	none	0	0	803	0	0	801	43	321201	OK
