case	size	source_sha256	source_bytes	plain_runs	median_s	min_s	max_s	profile_s	steps	answers	done	stalled	goals	subst	max_subst	alts	max_alt_subst	self_atoms	clauses	counter_delta	verdict
facts-control	1000	d76827d465269264ed4c1d3e4e297118e9cfbba1f3ad681d59f220c564ea4d6c	16901	3	0.028840	0.028315	0.030282	0.028547	3	1	true	none	0	0	1	0	0	1000	42	0	OK
facts-control	2000	288a7ca1bd1b5208a03f83349634de030f2da8c7175e55e6f593a3cb6b3d214f	34901	3	0.056890	0.054363	0.057206	0.056476	3	1	true	none	0	0	1	0	0	2000	42	0	OK
facts-control	4000	c2d24b096f06c7d87816e75c0681a514c1605c30d1cb829c9a776edb15e01bc1	70901	3	0.170916	0.169392	0.171681	0.172955	3	1	true	none	0	0	1	0	0	4000	42	0	OK
data-loop-control	1000	112c47f30c36cebf6f2b158cc7310a40551bcffede908fb628a3e2aecaa22b13	17003	3	0.035635	0.035170	0.037486	0.041074	519	1	true	none	0	0	67	0	0	1001	43	65	OK
data-loop-control	2000	553952bf397bc7eeac6a36007c1d0c109bb54e276e9745e8c30117b873c4c515	35003	3	0.061475	0.060807	0.063018	0.068497	519	1	true	none	0	0	67	0	0	2001	43	65	OK
data-loop-control	4000	1b77882c834273043bc6f60aa0b19198fff483cba9cc2e8e1966a6bce6620677	71003	3	0.175905	0.175809	0.177524	0.183710	519	1	true	none	0	0	67	0	0	4001	43	65	OK
match-bound-head	1000	74262c8318db2103811cf284f5d819ed5eac9ed49ce1cb8c7c249add520acfd3	17077	3	0.041080	0.040707	0.041921	0.051325	903	1	true	none	0	0	67	0	0	1001	43	64129	OK
match-bound-head	2000	cfc980294c7d29fc6692cb35cd72700cfaa77cabbb5ac87b99e9005035ba313a	35077	3	0.066542	0.065875	0.068513	0.085729	903	1	true	none	0	0	67	0	0	2001	43	128129	OK
match-bound-head	4000	530343ab623e959ab6abc62d4f6563a801e2ff67a7b75224f3459ce1665cc271	71077	3	0.185656	0.184494	0.187088	0.202385	903	1	true	none	0	0	67	0	0	4001	43	256129	OK
match-unbound	1000	e92470738947ba98a90ddcc765d349e01e6c984c8b627baa964073726a098af6	17078	3	0.130194	0.130033	0.130850	0.225420	903	1	true	none	0	0	67	0	0	1001	43	64129	OK
match-unbound	2000	7bfbc47991d9f06eb317fc99ffe1f87251110c0a7141bb6dcf6828e79f1936c2	35078	3	0.427259	0.424390	0.429726	0.801591	903	1	true	none	0	0	67	0	0	2001	43	128129	OK
match-unbound	4000	37b928d82a5b9256cc5c0c68e9cca5eb04b42a55e3c94e93d510ce7331455419	71078	3	1.576577	1.574305	1.581052	3.007573	903	1	true	none	0	0	67	0	0	4001	43	256129	OK
remove-miss	1000	494be6ee2a91eec9b3dd1be1511675692da2005fe846e3717815b3b9ca57eb03	17078	3	0.139654	0.131164	0.142113	0.244659	711	1	true	none	0	0	67	0	0	1001	43	65	OK
remove-miss	2000	b82812a681f3ac788e2004c3bfa63429485b4bbeacdcf87ef5965ce1229c0ffb	35078	3	0.357211	0.343786	0.358079	0.654812	711	1	true	none	0	0	67	0	0	2001	43	65	OK
remove-miss	4000	1e0ea35d4642859c3ad0ecc2e1a72e81476378974168ae6c11ed95388d9c3085	71078	3	1.068612	1.054504	1.088921	1.971588	711	1	true	none	0	0	67	0	0	4001	43	65	OK
